wavelength,flux
6501.861808,16399076900.0
6501.866036,16399552799.999998
6501.870263,16399864600.0
6501.87449,16400340500.0
6501.878718,16400652300.0
6501.882944999999,16400964000.0
6501.887173,16401439900.000002
6501.8913999999995,16401751700.0
6501.895628,16402063500.0
6501.899855000001,16402211100.0
6501.904082999999,16402522799.999998
6501.90831,16402834600.0
6501.9125380000005,16402982200.0
6501.916765,16403294000.0
6501.920993,16403441600.0
6501.925220000001,16403753400.0
6501.929448,16403901000.0
6501.933675,16404048600.0
6501.937903,16404196200.0
6501.942129999999,16404508000.0
6501.946358,16404655600.0
6501.950585,16404803200.0
6501.954813,16404950800.0
6501.959040000001,16405098400.0
6501.9632679999995,16405246000.0
6501.967495,16405229500.0
6501.971723000001,16405377100.0
6501.975950999999,16405524800.0
6501.980178,16405672400.0
6501.9844060000005,16405820000.0
6501.988633,16405803500.0
6501.992861,16405951100.0
6501.997088,16406098700.0
6502.001316,16406082200.0
6502.005544,16406229800.0
6502.009771000001,16406377400.0
6502.013999,16406360900.000002
6502.018227,16406508500.000002
6502.022454,16406492000.0
6502.026682,16406639600.0
6502.030909,16406623000.0
6502.035137000001,16406770700.0
6502.0393650000005,16406754100.0
6502.043592,16406737600.0
6502.04782,16406885200.0
6502.0520480000005,16406868700.0
6502.056275,16407016300.0
6502.060503000001,16406999800.0
6502.064731,16406983300.0
6502.068958,16407130900.0
6502.073186,16407114300.0
6502.077414,16407097799.999998
6502.081641,16407081300.0
6502.0858690000005,16407228900.0
6502.090097,16407212400.0
6502.094325,16407195900.0
6502.0985519999995,16407343500.0
6502.10278,16407327000.0
6502.107008000001,16407310400.0
6502.111236,16407293900.0
6502.115463,16407277400.0
6502.119691,16407425000.0
6502.123919,16407408500.0
6502.128146999999,16407391899.999998
6502.132374000001,16407375400.0
6502.1366020000005,16407358900.0
6502.140829999999,16407506500.0
6502.145058,16407490000.0
6502.149285,16407473500.0
6502.153512999999,16407456900.0
6502.157741,16407440400.0
6502.161969,16407423900.0
6502.1661970000005,16407407400.0
6502.170425,16407555000.0
6502.174652,16407538400.0
6502.17888,16407521900.0
6502.183108,16407505400.0
6502.187335999999,16407488900.0
6502.191564,16407472299.999998
6502.195792,16407455800.0
6502.200019000001,16407439300.0
6502.204247,16407422800.0
6502.208474999999,16407570400.0
6502.212703,16407553800.000002
6502.216931000001,16407537300.0
6502.221159,16407520800.0
6502.2253869999995,16407504300.0
6502.229615,16407487800.0
6502.233842000001,16407471199.999998
6502.238069999999,16407454700.0
6502.242298,16407438200.0
6502.246526,16407421700.0
6502.250754000001,16407405100.000002
6502.2549819999995,16407388600.0
6502.25921,16407372100.0
6502.263438,16407519700.0
6502.267666,16407503200.0
6502.271894,16407486600.0
6502.276121999999,16407470099.999998
6502.28035,16407453600.0
6502.284578,16407437100.0
6502.2888060000005,16407420500.0
6502.293034,16407404000.000002
6502.297262,16407387500.0
6502.30149,16407371000.0
6502.305718,16407354400.0
6502.309946,16407337900.0
6502.314174000001,16407321399.999998
6502.318402,16407304900.0
6502.32263,16407288300.0
6502.326858,16407271800.0
6502.331086,16407255300.000002
6502.335314,16407238800.0
6502.339542,16407222200.0
6502.3437699999995,16407205700.0
6502.347998,16407189200.0
6502.352226000001,16407172699.999998
6502.356454,16407156100.0
6502.3606819999995,16407139600.0
6502.36491,16407123100.0
6502.369138,16407106600.000002
6502.373366000001,16407090000.0
6502.377594,16407073500.0
6502.381823,16407057000.0
6502.3860509999995,16407040500.0
6502.390279,16407023900.0
6502.394507,16407007400.0
6502.398735000001,16406990900.0
6502.4029629999995,16406974400.0
6502.407191,16406957800.0
6502.411419,16406941300.0
6502.415647,16406924800.0
6502.419876,16406908200.000002
6502.424104000001,16406891700.0
6502.4283319999995,16406711100.0
6502.432559999999,16406694600.0
6502.436788,16406677999.999998
6502.441016000001,16406661500.0
6502.445245,16406480900.0
6502.449473000001,16406464300.000002
6502.4537009999995,16406283700.0
6502.457929,16406103100.0
6502.462157,16406086499.999998
6502.466386,16405741800.0
6502.470614,16405561099.999998
6502.4748420000005,16405216400.0
6502.47907,16405035700.0
6502.483297999999,16404526900.0
6502.487526999999,16404018000.0
6502.491755,16403509100.0
6502.495983,16402836200.0
6502.5002110000005,16401999100.0
6502.504440000001,16400997900.0
6502.508668,16399832500.0
6502.512895999999,16398503100.0
6502.517124,16396845500.0
6502.521353,16395023700.0
6502.525581,16392873700.0
6502.529809,16390559700.0
6502.534038,16387753200.0
6502.5382660000005,16384782700.0
6502.542494,16381319900.0
6502.546721999999,16377692900.0
6502.550950999999,16373573600.0
6502.555179,16369290200.0
6502.559407,16364678600.0
6502.563636,16359902900.0
6502.567864000001,16354799000.0
6502.572092,16349695099.999998
6502.5763210000005,16344591200.0
6502.580549,16339487300.0
6502.584777,16334547500.0
6502.589005999999,16329936000.0
6502.593234,16325652700.0
6502.597463,16321861700.0
6502.601691,16318563100.0
6502.605919,16315920900.0
6502.610148,16313935100.000002
6502.614376,16312770000.0
6502.618605,16312261200.0
6502.622833,16312573000.0
6502.627060999999,16313541200.0
6502.63129,16315329999.999998
6502.635517999999,16317939200.0
6502.639746999999,16321040899.999998
6502.643975,16324634800.0
6502.648203999999,16328721000.0
6502.652432,16333299600.0
6502.656660000001,16338042300.0
6502.660889,16342949000.0
6502.6651170000005,16347855800.0
6502.669346000001,16352926600.0
6502.673574,16357669200.0
6502.6778030000005,16362411900.0
6502.682031,16366826200.0
6502.68626,16370912400.0
6502.690487999999,16374834500.0
6502.694717,16378428300.0
6502.698945,16381529800.0
6502.703173999999,16384303100.0
6502.707402,16386748200.0
6502.711631,16388865000.0
6502.715859,16390653700.0
6502.720088,16392278199.999998
6502.724316,16393410400.0
6502.728545,16394378500.0
6502.732773,16395182600.0
6502.737002,16395658400.0
6502.741231,16396134100.0
6502.745459,16396281700.0
6502.749688,16396265200.0
6502.753916000001,16396084600.0
6502.758145,16395739900.0
6502.762374,16395230999.999998
6502.766602000001,16394722200.0
6502.770831,16393885200.0
6502.7750590000005,16393048100.0
6502.779288000001,16392047000.0
6502.783517,16390881799.999998
6502.7877450000005,16389388400.0
6502.791974000001,16387894900.0
6502.7962019999995,16386073300.0
6502.800431,16384087600.0
6502.804660000001,16381937700.0
6502.808888,16379295599.999998
6502.813117,16376489400.0
6502.817346000001,16373355000.0
6502.821574,16369728200.0
6502.825803,16365609200.0
6502.830032000001,16361162000.0
6502.83426,16355894300.0
6502.838489,16350134300.000002
6502.842718000001,16343717900.000002
6502.846946,16336481100.0
6502.851175,16328259600.0
6502.855404,16319217700.0
6502.859633,16309027100.0
6502.863861,16297523700.0
6502.86809,16284871600.0
6502.872319,16270742700.0
6502.876547,16255136900.0
6502.880776,16237890200.0
6502.885005,16218838400.0
6502.889234,16198145700.0
6502.893462,16175483799.999998
6502.897690999999,16150852800.0
6502.90192,16124252700.0
6502.906149,16095683500.0
6502.9103780000005,16065309200.0
6502.914606,16033129900.0
6502.918835,15999145700.0
6502.9230640000005,15963684600.000002
6502.927293000001,15927074900.0
6502.931522,15889480700.0
6502.935750000001,15851394300.0
6502.939979000001,15812979800.0
6502.944208,15774729500.0
6502.948437,15737299700.0
6502.952666,15701018600.0
6502.956894999999,15666378600.0
6502.961123,15633871900.0
6502.965352,15603990800.0
6502.969580999999,15577227600.0
6502.9738099999995,15553910400.0
6502.978039,15534531500.0
6502.982268,15519419200.0
6502.986497000001,15508573300.0
6502.990725,15502322100.000002
6502.994954,15500993700.0
6502.999183,15504260000.0
6503.003412,15512120800.0
6503.007641,15524576300.0
6503.01187,15541298200.0
6503.016099,15562286500.0
6503.0203280000005,15586884800.0
6503.024557,15614764900.0
6503.028786,15645762700.000002
6503.033015,15679057800.0
6503.037243999999,15714321899.999998
6503.041472999999,15751226800.0
6503.045701999999,15788952200.0
6503.049929999999,15827169699.999998
6503.054158999999,15865551300.0
6503.0583879999995,15903440499.999998
6503.0626170000005,15940673200.0
6503.066846000001,15976757300.0
6503.071075,16011528500.0
6503.075304,16044822800.0
6503.079533,16076312100.0
6503.083762,16105832300.0
6503.087991,16133547300.0
6503.0922199999995,16159293300.0
6503.096449,16183070100.000002
6503.100678,16205041800.0
6503.104906999999,16225044500.000002
6503.109137,16243242100.0
6503.113366,16259798700.000002
6503.117595,16274714500.0
6503.121824,16288153400.0
6503.126053,16300279600.0
6503.130282,16311093000.0
6503.134510999999,16320757800.0
6503.13874,16329438100.0
6503.142969,16337133800.000002
6503.147198000001,16344009000.0
6503.151427000001,16350063800.0
6503.155656,16355462200.0
6503.159885,16360204300.0
6503.164115,16364454100.000002
6503.168344,16368211600.0
6503.172573000001,16371476800.0
6503.176802,16374413900.0
6503.181031,16376858700.000002
6503.18526,16379139400.0
6503.189489,16381092000.0
6503.193718,16382880400.0
6503.197947999999,16384340700.0
6503.202176999999,16385472800.0
6503.206406,16386604900.0
6503.210635,16387572900.0
6503.2148640000005,16388212700.0
6503.219094,16388852500.0
6503.223323,16389328200.0
6503.227551999999,16389639900.0
6503.2317809999995,16389787500.0
6503.2360100000005,16389770900.0
6503.240239000001,16389754400.0
6503.244469,16389409700.0
6503.248697999999,16389065000.0
6503.2529269999995,16388556299.999998
6503.257156,16387883400.0
6503.261386,16386882400.0
6503.265615,16385717300.0
6503.269844,16384388100.0
6503.2740730000005,16382894900.0
6503.278302999999,16381073400.0
6503.282531999999,16378759800.0
6503.286761,16376117900.0
6503.29099,16373147900.0
6503.29522,16369521600.000002
6503.299449,16365403100.0
6503.303678,16360628200.0
6503.307908000001,16354868800.0
6503.312137000001,16348289100.0
6503.316366,16340560800.0
6503.320596,16331355700.0
6503.324825,16320674000.0
6503.329054,16308023300.0
6503.333284,16293403600.0
6503.337513,16275994700.0
6503.3417420000005,16255468200.0
6503.345971999999,16231496000.0
6503.350200999999,16203257900.000002
6503.35443,16170261399.999998
6503.35866,16131522300.0
6503.362889,16086220000.0
6503.367118,16033534200.0
6503.371348,15972480500.0
6503.375577000001,15901910300.0
6503.379807,15821003199.999998
6503.3840359999995,15728774900.0
6503.388265,15624404900.0
6503.392495,15507401100.0
6503.396724,15377599400.0
6503.400954,15234835700.0
6503.405183,15079766500.0
6503.409412,14913704400.0
6503.413642,14738290200.0
6503.417871000001,14555656900.0
6503.422101,14368922099.999998
6503.42633,14181203100.0
6503.430560000001,13996602000.0
6503.434789000001,13818728400.0
6503.4390189999995,13651848400.0
6503.443248,13499899600.0
6503.447478,13366655900.0
6503.451707,13255234600.000002
6503.455937,13168753100.0
6503.460166,13109016200.000002
6503.464396,13077828500.0
6503.468625,13075846499.999998
6503.472855,13102905700.0
6503.477084,13158678100.0
6503.481314000001,13241686900.0
6503.485543000001,13349634900.0
6503.489773,13480061000.000002
6503.494001999999,13629683500.0
6503.498232,13794564600.000002
6503.502461,13971094700.0
6503.5066910000005,14155171900.0
6503.51092,14342694200.0
6503.515149999999,14529723900.0
6503.51938,14712979600.0
6503.523609,14889671900.000002
6503.527838999999,15057175800.0
6503.5320679999995,15213850600.0
6503.536298,15358219500.000002
6503.5405279999995,15489954500.0
6503.544757,15608727500.0
6503.548987,15714866700.0
6503.553216,15808700300.0
6503.557446,15891212600.0
6503.561676,15963060200.000002
6503.565905,16025391400.0
6503.570135,16079190800.0
6503.5743649999995,16125442699.999998
6503.5785940000005,16165131700.0
6503.582824,16199078200.000002
6503.587053,16227938400.0
6503.591283,16252532600.0
6503.595513,16273353200.0
6503.599743,16291220500.000002
6503.603972,16306462600.0
6503.608202,16319407700.0
6503.612432,16330384000.0
6503.616661,16339719500.0
6503.6208910000005,16347742400.0
6503.625121,16354616900.0
6503.62935,16360506900.0
6503.63358,16365576600.0
6503.63781,16369989900.0
6503.64204,16373747000.0
6503.646269,16377011900.0
6503.650499,16379948600.0
6503.654729,16382393099.999998
6503.658959,16384509500.0
6503.663188,16386297700.000002
6503.667418,16387921900.0
6503.671648,16389381999.999998
6503.675878,16390678000.0
6503.680107,16391809900.0
6503.684337,16392777800.0
6503.688567,16393581600.0
6503.692797,16394385400.0
6503.697026999999,16395025100.0
6503.701256,16395664900.0
6503.705486,16396140600.0
6503.709715999999,16396616200.0
6503.713946,16397091900.0
6503.718176,16397403500.0
6503.722406000001,16397715100.000002
6503.726635000001,16398026700.0
6503.7308649999995,16398338300.0
6503.735095,16398485800.0
6503.7393250000005,16398633400.0
6503.743555,16398944900.0
6503.7477850000005,16398928400.0
6503.752015,16399075900.0
6503.756244,16399223500.0
6503.760474,16399206900.0
6503.764704,16399190400.000002
6503.768934,16399173900.0
6503.773164,16399157300.0
6503.777394,16399140800.0
6503.781623999999,16398960199.999998
6503.785854,16398779600.0
6503.790084,16398435000.0
6503.794314000001,16398090299.999998
6503.798544,16397745600.0
6503.802774,16397072900.0
6503.807003,16396400100.0
6503.811233,16395399200.0
6503.815463,16394398300.0
6503.819693,16393069199.999998
6503.823923,16391412100.0
6503.8281529999995,16389426800.0
6503.832383,16387113400.0
6503.8366129999995,16384471900.0
6503.840843,16381338299.999998
6503.845073,16377548300.0
6503.849302999999,16373266200.0
6503.853533,16368327900.0
6503.857763,16362897400.0
6503.861993,16356646600.0
6503.866223,16349903700.0
6503.8704529999995,16342340400.0
6503.874683,16334121000.0
6503.878913,16325245300.0
6503.883143000001,16315877400.0
6503.887374,16306017400.0
6503.891604,16295501200.0
6503.895834,16284820900.000002
6503.9000639999995,16273648500.0
6503.904294,16262476100.0
6503.9085239999995,16250975600.0
6503.912754000001,16239475200.0
6503.9169839999995,16227810700.0
6503.921214,16216310200.0
6503.925444,16204809800.0
6503.929674,16193473500.0
6503.933904,16182301300.0
6503.938134999999,16171129099.999998
6503.942365000001,16160285000.0
6503.946594999999,16149605000.0
6503.950825,16139253100.0
6503.955055,16129229400.0
6503.959285,16119533800.000002
6503.963515,16110330400.0
6503.967745999999,16101783200.0
6503.971976000001,16093892299.999998
6503.976205999999,16086821700.0
6503.980436000001,16080899500.000002
6503.984666,16075961600.0
6503.988896,16072336200.0
6503.993127,16070187199.999998
6503.997356999999,16069514800.0
6504.001587000001,16070482900.0
6504.005816999999,16073091600.0
6504.010047000001,16077340800.0
6504.014278,16083230600.0
6504.018508,16090924900.000002
6504.022738,16099931600.0
6504.026967999999,16110414800.0
6504.031199,16122210500.0
6504.0354290000005,16135154400.0
6504.039659,16148918600.0
6504.043889,16163339000.000002
6504.0481199999995,16178251600.0
6504.05235,16193328100.0
6504.05658,16208404600.0
6504.06081,16223317100.0
6504.065041,16237737300.0
6504.069270999999,16251665400.0
6504.073501000001,16264937200.0
6504.077732,16277224700.0
6504.081962,16288691900.0
6504.086192,16299010700.0
6504.090423,16308181100.000002
6504.094653,16316203199.999998
6504.098883000001,16323076900.0
6504.103113,16328802200.000002
6504.107344,16333379200.0
6504.111574,16336807800.0
6504.115805,16339088000.0
6504.120035,16340383900.0
6504.124265,16340531500.0
6504.128495999999,16339858800.0
6504.132726,16338365900.0
6504.136956,16336052700.000002
6504.141187,16333083300.0
6504.145417,16329621800.0
6504.1496480000005,16325668200.0
6504.153877999999,16321386500.0
6504.1581080000005,16316940700.0
6504.1623389999995,16312494900.0
6504.166569,16308049200.000002
6504.170800000001,16303931500.0
6504.17503,16300142000.0
6504.17926,16296844600.0
6504.183491,16294203400.0
6504.187720999999,16292054300.0
6504.191952,16290725500.0
6504.196182,16290216900.0
6504.200413,16290528600.0
6504.204643000001,16291660500.0
6504.208874,16293612600.0
6504.213104,16296385000.0
6504.217334999999,16299813500.0
6504.221565,16303734200.0
6504.225796,16308475100.0
6504.230026,16313544100.0
